z(m),CH2CH3(S),CH3(S),H(S),CH2(S),CHCH3(S),CH2CH2(S),CH(S),CCH3(S),CHCH2(S),C(S),CCH2(S),CHCH(S),CCH(S),CC(S),CH4(S),PT(S)
6.850000e-06, 1.284385e-07, 4.339264e-10, 4.822685e-04, 1.220333e-07, 8.994040e-11, 7.502059e-09, 3.878382e-01, 5.970485e-03, 1.888168e-07, 5.061313e-01, 1.306532e-02, 1.669795e-04, 2.842733e-05, 4.114967e-06, 9.311880e-12, 8.631248e-02
7.300000e-06, 1.266060e-07, 4.411448e-10, 4.851666e-04, 1.257274e-07, 9.339783e-11, 7.705587e-09, 3.920084e-01, 6.086792e-03, 1.928163e-07, 5.028321e-01, 1.309145e-02, 1.728698e-04, 2.893869e-05, 4.117689e-06, 9.945179e-12, 8.528967e-02
7.750000e-06, 1.248918e-07, 4.482258e-10, 4.878672e-04, 1.292951e-07, 9.682134e-11, 7.900169e-09, 3.959230e-01, 6.200792e-03, 1.967479e-07, 4.997202e-01, 1.312210e-02, 1.785783e-04, 2.942783e-05, 4.120510e-06, 1.058604e-11, 8.433351e-02
8.200000e-06, 1.232829e-07, 4.551731e-10, 4.903931e-04, 1.327468e-07, 1.002132e-10, 8.086605e-09, 3.996084e-01, 6.312583e-03, 2.006147e-07, 4.967770e-01, 1.315640e-02, 1.841182e-04, 2.989696e-05, 4.123442e-06, 1.123440e-11, 8.343664e-02
8.650000e-06, 1.217682e-07, 4.619905e-10, 4.927640e-04, 1.360916e-07, 1.035752e-10, 8.265589e-09, 4.030872e-01, 6.422257e-03, 2.044197e-07, 4.939867e-01, 1.319367e-02, 1.895014e-04, 3.034793e-05, 4.126493e-06, 1.189021e-11, 8.259292e-02
9.100000e-06, 1.203383e-07, 4.686827e-10, 4.949966e-04, 1.393375e-07, 1.069092e-10, 8.437731e-09, 4.063789e-01, 6.529899e-03, 2.081659e-07, 4.913357e-01, 1.323335e-02, 1.947381e-04, 3.078238e-05, 4.129665e-06, 1.255342e-11, 8.179705e-02
9.550000e-06, 1.189852e-07, 4.752539e-10, 4.971053e-04, 1.424916e-07, 1.102167e-10, 8.603570e-09, 4.095002e-01, 6.635588e-03, 2.118558e-07, 4.888119e-01, 1.327498e-02, 1.998375e-04, 3.120170e-05, 4.132961e-06, 1.322399e-11, 8.104454e-02
1.000000e-05, 1.177018e-07, 4.817087e-10, 4.991024e-04, 1.455603e-07, 1.134988e-10, 8.763581e-09, 4.124658e-01, 6.739396e-03, 2.154916e-07, 4.864050e-01, 1.331818e-02, 2.048081e-04, 3.160713e-05, 4.136380e-06, 1.390188e-11, 8.033148e-02
1.450000e-05, 1.076635e-07, 5.407591e-10, 5.147884e-04, 1.725623e-07, 1.451417e-10, 1.011862e-08, 4.357846e-01, 7.686990e-03, 2.492960e-07, 4.671515e-01, 1.378756e-02, 2.487596e-04, 3.508618e-05, 4.176889e-06, 2.107668e-11, 7.478592e-02
1.900000e-05, 1.008061e-07, 5.921024e-10, 5.259975e-04, 1.949117e-07, 1.750684e-10, 1.117675e-08, 4.517331e-01, 8.499832e-03, 2.793920e-07, 4.536048e-01, 1.425339e-02, 2.850121e-04, 3.787926e-05, 4.227118e-06, 2.896517e-11, 7.105516e-02
2.350000e-05, 9.574571e-08, 6.380189e-10, 5.350503e-04, 2.142909e-07, 2.036427e-10, 1.205603e-08, 4.634082e-01, 9.206575e-03, 3.066585e-07, 4.434482e-01, 1.468101e-02, 3.159117e-04, 4.026304e-05, 4.285078e-06, 3.757947e-11, 6.835983e-02
2.800000e-05, 9.183189e-08, 6.799495e-10, 5.429599e-04, 2.316082e-07, 2.310793e-10, 1.281722e-08, 4.723033e-01, 9.825789e-03, 3.316471e-07, 4.355416e-01, 1.506438e-02, 3.427874e-04, 4.237666e-05, 4.349539e-06, 4.695036e-11, 6.633185e-02
3.250000e-05, 8.870817e-08, 7.188545e-10, 5.502372e-04, 2.474166e-07, 2.575254e-10, 1.349573e-08, 4.792519e-01, 1.037065e-02, 3.547372e-07, 4.292380e-01, 1.540491e-02, 3.664869e-04, 4.430073e-05, 4.419735e-06, 5.712101e-11, 6.476839e-02
3.700000e-05, 8.615854e-08, 7.554065e-10, 5.571646e-04, 2.620806e-07, 2.830924e-10, 1.411392e-08, 4.847668e-01, 1.085115e-02, 3.762072e-07, 4.241341e-01, 1.570599e-02, 3.875957e-04, 4.608635e-05, 4.495156e-06, 6.814364e-11, 6.354593e-02
4.150000e-05, 8.404251e-08, 7.900970e-10, 5.639083e-04, 2.758545e-07, 3.078706e-10, 1.468681e-08, 4.891854e-01, 1.127520e-02, 3.962717e-07, 4.199607e-01, 1.597144e-02, 4.065412e-04, 4.776806e-05, 4.575441e-06, 8.007764e-11, 6.258371e-02
4.600000e-05, 8.226368e-08, 8.232972e-10, 5.705704e-04, 2.889236e-07, 3.319371e-10, 1.522492e-08, 4.927422e-01, 1.164934e-02, 4.151025e-07, 4.165285e-01, 1.620491e-02, 4.236493e-04, 4.937032e-05, 4.660316e-06, 9.298851e-11, 6.182600e-02
5.050000e-05, 8.075312e-08, 8.552959e-10, 5.772151e-04, 3.014274e-07, 3.553603e-10, 1.573590e-08, 4.956068e-01, 1.197912e-02, 4.328414e-07, 4.136987e-01, 1.640976e-02, 4.391773e-04, 5.091102e-05, 4.749559e-06, 1.069472e-10, 6.123271e-02
