t(s),cat,react1,react2,int1,int2,int3,prod,water
7.60000000e+04,3.75344240e-07,1.56508156e-01,1.56781475e-01,5.46637241e-04,2.37979871e-05,5.99155120e-01,8.69844387e-02,0.00000000e+00
7.70000000e+04,3.78102368e-07,1.55933895e-01,1.56208211e-01,5.48633608e-04,2.37975656e-05,5.99152118e-01,8.81329670e-02,0.00000000e+00
7.80000000e+04,3.80890960e-07,1.55359636e-01,1.55634958e-01,5.50644550e-04,2.37971399e-05,5.99149093e-01,8.92814895e-02,0.00000000e+00
7.90000000e+04,3.83710465e-07,1.54785381e-01,1.55061716e-01,5.52670225e-04,2.37967100e-05,5.99146047e-01,9.04300062e-02,0.00000000e+00
8.00000000e+04,3.86561341e-07,1.54211128e-01,1.54488483e-01,5.54710796e-04,2.37962758e-05,5.99142978e-01,9.15785171e-02,0.00000000e+00
8.10000000e+04,3.89444055e-07,1.53636878e-01,1.53915262e-01,5.56766426e-04,2.37958372e-05,5.99139886e-01,9.27270220e-02,0.00000000e+00
8.20000000e+04,3.92359082e-07,1.53062632e-01,1.53342051e-01,5.58837282e-04,2.37953942e-05,5.99136772e-01,9.38755210e-02,0.00000000e+00
8.30000000e+04,3.95306907e-07,1.52488388e-01,1.52768850e-01,5.60923534e-04,2.37949467e-05,5.99133634e-01,9.50240140e-02,0.00000000e+00
8.40000000e+04,3.98288021e-07,1.51914148e-01,1.52195660e-01,5.63025353e-04,2.37944947e-05,5.99130473e-01,9.61725010e-02,0.00000000e+00
8.50000000e+04,4.01302928e-07,1.51339910e-01,1.51622482e-01,5.65142912e-04,2.37940380e-05,5.99127288e-01,9.73209819e-02,0.00000000e+00
8.60000000e+04,4.04352138e-07,1.50765676e-01,1.51049314e-01,5.67276390e-04,2.37935767e-05,5.99124079e-01,9.84694566e-02,0.00000000e+00
8.70000000e+04,4.07436175e-07,1.50191445e-01,1.50476158e-01,5.69425965e-04,2.37931107e-05,5.99120846e-01,9.96179252e-02,0.00000000e+00
8.80000000e+04,4.10555570e-07,1.49617217e-01,1.49903013e-01,5.71591820e-04,2.37926399e-05,5.99117588e-01,1.00766388e-01,0.00000000e+00
8.90000000e+04,4.13710863e-07,1.49042992e-01,1.49329879e-01,5.73774138e-04,2.37921642e-05,5.99114305e-01,1.01914844e-01,0.00000000e+00
9.00000000e+04,4.16902607e-07,1.48468770e-01,1.48756757e-01,5.75973109e-04,2.37916835e-05,5.99110998e-01,1.03063293e-01,0.00000000e+00
9.10000000e+04,4.20131366e-07,1.47894552e-01,1.48183646e-01,5.78188922e-04,2.37911978e-05,5.99107665e-01,1.04211737e-01,0.00000000e+00
9.20000000e+04,4.23397712e-07,1.47320336e-01,1.47610547e-01,5.80421771e-04,2.37907071e-05,5.99104306e-01,1.05360174e-01,0.00000000e+00
9.30000000e+04,4.26702230e-07,1.46746125e-01,1.47037460e-01,5.82671851e-04,2.37902111e-05,5.99100922e-01,1.06508604e-01,0.00000000e+00
9.40000000e+04,4.30045516e-07,1.46171916e-01,1.46464386e-01,5.84939364e-04,2.37897100e-05,5.99097511e-01,1.07657028e-01,0.00000000e+00
9.50000000e+04,4.33428179e-07,1.45597711e-01,1.45891323e-01,5.87224510e-04,2.37892035e-05,5.99094074e-01,1.08805446e-01,0.00000000e+00
9.60000000e+04,4.36850838e-07,1.45023509e-01,1.45318272e-01,5.89527496e-04,2.37886916e-05,5.99090609e-01,1.09953857e-01,0.00000000e+00
9.70000000e+04,4.40314124e-07,1.44449310e-01,1.44745234e-01,5.91848530e-04,2.37881743e-05,5.99087118e-01,1.11102261e-01,0.00000000e+00
9.80000000e+04,4.43818683e-07,1.43875115e-01,1.44172209e-01,5.94187824e-04,2.37876514e-05,5.99083599e-01,1.12250658e-01,0.00000000e+00
9.90000000e+04,4.47365172e-07,1.43300923e-01,1.43599196e-01,5.96545594e-04,2.37871228e-05,5.99080052e-01,1.13399049e-01,0.00000000e+00
1.00000000e+05,4.50954260e-07,1.42726735e-01,1.43026196e-01,5.98922059e-04,2.37865885e-05,5.99076477e-01,1.14547433e-01,0.00000000e+00
1.01000000e+05,4.54586633e-07,1.42152550e-01,1.42453208e-01,6.01317440e-04,2.37860485e-05,5.99072874e-01,1.15695810e-01,0.00000000e+00
1.02000000e+05,4.58262986e-07,1.41578368e-01,1.41880234e-01,6.03731963e-04,2.37855025e-05,5.99069242e-01,1.16844180e-01,0.00000000e+00
1.03000000e+05,4.61984034e-07,1.41004191e-01,1.41307273e-01,6.06165858e-04,2.37849505e-05,5.99065580e-01,1.17992543e-01,0.00000000e+00
1.04000000e+05,4.65750500e-07,1.40430016e-01,1.40734326e-01,6.08619357e-04,2.37843925e-05,5.99061889e-01,1.19140899e-01,0.00000000e+00
1.05000000e+05,4.69563126e-07,1.39855846e-01,1.40161392e-01,6.11092698e-04,2.37838283e-05,5.99058168e-01,1.20289248e-01,0.00000000e+00
1.06000000e+05,4.73422669e-07,1.39281679e-01,1.39588472e-01,6.13586120e-04,2.37832578e-05,5.99054417e-01,1.21437590e-01,0.00000000e+00
1.07000000e+05,4.77329899e-07,1.38707515e-01,1.39015565e-01,6.16099868e-04,2.37826810e-05,5.99050636e-01,1.22585924e-01,0.00000000e+00
