t(s),Temperature,Pressure,Density,Mass,Volume,IntEnergy,mdot_in,mdot_out,mdot_surf,mdot
9.20000000e+04,2.98000000e+02,1.35942370e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.04218535e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
9.30000000e+04,2.98000000e+02,1.35800104e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.04109468e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
9.40000000e+04,2.98000000e+02,1.35657841e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.04000404e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
9.50000000e+04,2.98000000e+02,1.35515581e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.03891342e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
9.60000000e+04,2.98000000e+02,1.35373325e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.03782283e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
9.70000000e+04,2.98000000e+02,1.35231071e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.03673226e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
9.80000000e+04,2.98000000e+02,1.35088820e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.03564171e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
9.90000000e+04,2.98000000e+02,1.34946573e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.03455119e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
1.00000000e+05,2.98000000e+02,1.34804329e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.03346069e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
1.01000000e+05,2.98000000e+02,1.34662088e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.03237022e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
1.02000000e+05,2.98000000e+02,1.34519850e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.03127977e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
1.03000000e+05,2.98000000e+02,1.34377615e+06,1.30439725e+01,1.30439725e-05,1.00000000e-06,-1.03018935e+050.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
