t(s),Temperature,Pressure,Density,Mass,Volume,IntEnergy,mdot_in,mdot_out,mdot_surf,mdot
9.55000000e-04,9.00000000e+02,9.39961380e+04,1.13168015e-01,1.13168015e-07,1.00000000e-06,3.20079977e+06,-1.15305513e-07,-1.15232131e-07,-7.80868100e-08,-7.80134279e-08,
1.00000000e-03,9.00000000e+02,9.39903789e+04,1.13164450e-01,1.13164450e-07,1.00000000e-06,3.20022216e+06,-1.15305513e-07,-1.15232131e-07,-7.80868100e-08,-7.80134279e-08,
1.45000000e-03,9.00000000e+02,9.39339574e+04,1.13135006e-01,1.13135006e-07,1.00000000e-06,3.19432331e+06,-1.15305513e-07,-1.15231471e-07,-5.40645799e-08,-5.39905378e-08,
1.90000000e-03,9.00000000e+02,9.38803327e+04,1.13111648e-01,1.13111648e-07,1.00000000e-06,3.18850701e+06,-1.15305513e-07,-1.15231022e-07,-4.78815022e-08,-4.78070115e-08,
2.35000000e-03,9.00000000e+02,9.38296934e+04,1.13090993e-01,1.13090993e-07,1.00000000e-06,3.18294203e+06,-1.15305513e-07,-1.15230457e-07,-4.34729472e-08,-4.33978915e-08,
2.80000000e-03,9.00000000e+02,9.37818741e+04,1.13071772e-01,1.13071772e-07,1.00000000e-06,3.17766252e+06,-1.15305513e-07,-1.15230051e-07,-4.18292108e-08,-4.17537491e-08,
3.25000000e-03,9.00000000e+02,9.37366309e+04,1.13053441e-01,1.13053441e-07,1.00000000e-06,3.17266192e+06,-1.15305513e-07,-1.15229477e-07,-3.96281345e-08,-3.95520985e-08,
3.70000000e-03,9.00000000e+02,9.36937254e+04,1.13035710e-01,1.13035710e-07,1.00000000e-06,3.16792336e+06,-1.15305513e-07,-1.15229115e-07,-3.89797698e-08,-3.89033719e-08,
4.15000000e-03,9.00000000e+02,9.36529429e+04,1.13018403e-01,1.13018403e-07,1.00000000e-06,3.16342806e+06,-1.15305513e-07,-1.15228768e-07,-3.85535230e-08,-3.84767785e-08,
4.60000000e-03,9.00000000e+02,9.36140955e+04,1.13001395e-01,1.13001395e-07,1.00000000e-06,3.15915827e+06,-1.15305513e-07,-1.15228274e-07,-3.72257069e-08,-3.71484686e-08,
5.05000000e-03,9.00000000e+02,9.35770195e+04,1.12984594e-01,1.12984594e-07,1.00000000e-06,3.15509779e+06,-1.15305513e-07,-1.15227961e-07,-3.70062986e-08,-3.69287470e-08,
5.50000000e-03,9.00000000e+02,9.35415712e+04,1.12967928e-01,1.12967928e-07,1.00000000e-06,3.15123206e+06,-1.15305513e-07,-1.15227475e-07,-3.61818529e-08,-3.61038149e-08,
5.95000000e-03,9.00000000e+02,9.35076257e+04,1.12951341e-01,1.12951341e-07,1.00000000e-06,3.14754811e+06,-1.15305513e-07,-1.15227242e-07,-3.74544674e-08,-3.73761969e-08,
6.40000000e-03,9.00000000e+02,9.34750699e+04,1.12934785e-01,1.12934785e-07,1.00000000e-06,3.14403410e+06,-1.15305513e-07,-1.15226797e-07,-3.73614327e-08,-3.72827167e-08,
