t(s),N2(T),N(T),H(T),NH3(T),NH2(T),NH(T),RU(T),N2(S),N(S),H(S),NH3(S),NH2(S),NH(S),RU(S)
4.60000000e-05,1.42651126e-05,5.43697643e-07,6.14001068e-01,2.25704882e-10,1.15124034e-12,9.41396030e-09,3.85984114e-01,2.90881869e-06,2.64810132e-02,5.97614271e-01,6.90311701e-09,9.58711310e-05,1.63549659e-04,3.75642379e-01
5.05000000e-05,1.42647505e-05,5.98408199e-07,6.14001357e-01,2.69889824e-10,1.28482848e-12,1.03949766e-08,3.85983769e-01,2.90164691e-06,2.88395934e-02,5.96149452e-01,8.04250327e-09,1.04522268e-04,1.78175446e-04,3.74725347e-01
5.50000000e-05,1.42643911e-05,6.53539449e-07,6.14001615e-01,3.17659674e-10,1.42195623e-12,1.13870476e-08,3.85983456e-01,2.89457360e-06,3.11657383e-02,5.94704754e-01,9.25469388e-09,1.13059548e-04,1.92601321e-04,3.73820943e-01
5.95000000e-05,1.42640346e-05,7.09123567e-07,6.14001841e-01,3.68937958e-10,1.56262281e-12,1.23906394e-08,3.85983173e-01,2.88759688e-06,3.34600657e-02,5.93279792e-01,1.05376018e-08,1.21485096e-04,2.06831081e-04,3.72928927e-01
6.40000000e-05,1.42636809e-05,7.65193277e-07,6.14002037e-01,4.23646557e-10,1.70682718e-12,1.34062259e-08,3.85982920e-01,2.88071483e-06,3.57232062e-02,5.91874177e-01,1.18890828e-08,1.29801082e-04,2.20868601e-04,3.72049054e-01
6.85000000e-05,1.42633298e-05,8.21779881e-07,6.14002203e-01,4.81711498e-10,1.85456890e-12,1.44342611e-08,3.85982697e-01,2.87392564e-06,3.79557585e-02,5.90487538e-01,1.33071390e-08,1.38009568e-04,2.34717559e-04,3.71181089e-01
7.30000000e-05,1.42629814e-05,8.78913343e-07,6.14002339e-01,5.43062602e-10,2.00584805e-12,1.54751802e-08,3.85982503e-01,2.86722757e-06,4.01582920e-02,5.89119520e-01,1.47898929e-08,1.46112517e-04,2.48381457e-04,3.70324811e-01
7.75000000e-05,1.42626356e-05,9.36624212e-07,6.14002447e-01,6.07628027e-10,2.16066449e-12,1.65294267e-08,3.85982336e-01,2.86061885e-06,4.23313889e-02,5.87769764e-01,1.63354130e-08,1.54111934e-04,2.61863872e-04,3.69479994e-01
8.20000000e-05,1.42622924e-05,9.94943310e-07,6.14002527e-01,6.75335146e-10,2.31901796e-12,1.75974481e-08,3.85982198e-01,2.85409770e-06,4.44756375e-02,5.86437905e-01,1.79417419e-08,1.62009846e-04,2.75168419e-04,3.68646407e-01
8.65000000e-05,1.42619517e-05,1.05389742e-06,6.14002579e-01,7.46122695e-10,2.48090967e-12,1.86796348e-08,3.85982086e-01,2.84766259e-06,4.65915382e-02,5.85123631e-01,1.96073578e-08,1.69807986e-04,2.88298177e-04,3.67823857e-01
