t(s),N2(T),N(T),H(T),NH3(T),NH2(T),NH(T),RU(T),N2(S),N(S),H(S),NH3(S),NH2(S),NH(S),RU(S)
4.60000000e-05,-3.09440732e-12,3.10895930e-10,1.73623687e-09,1.42670787e-13,7.51674740e-16,5.56441434e-12,-2.04974623e-09,-1.01457292e-12,2.76434429e-07,-1.71680836e-07,-1.13160014e-13,1.01364138e-09,1.71412446e-09,-1.07480232e-07
5.05000000e-05,-2.92062681e-12,3.13197224e-10,1.55451592e-09,1.10974862e-13,7.71855802e-16,5.62604446e-12,-1.87053031e-09,-1.07572331e-12,2.72620408e-07,-1.69314930e-07,-2.21678648e-13,1.00025565e-09,1.69061727e-09,-1.05995054e-07
5.50000000e-05,-2.85627389e-12,3.15688324e-10,1.37459976e-09,1.82994218e-13,7.92055274e-16,5.69042146e-12,-1.69330601e-09,-9.98283922e-13,2.68881208e-07,-1.66995424e-07,-9.79649392e-14,9.87127221e-10,1.66756991e-09,-1.04539386e-07
5.95000000e-05,-2.77003614e-12,3.18365178e-10,1.19950657e-09,1.64852254e-13,8.12226509e-16,5.75748838e-12,-1.52102487e-09,-1.04191287e-12,2.65214967e-07,-1.64721119e-07,-1.75458375e-13,9.74250072e-10,1.64497159e-09,-1.03111852e-07
6.40000000e-05,-2.71470383e-12,3.21223647e-10,1.02715194e-09,2.02994987e-13,8.32405272e-16,5.82718786e-12,-1.35169190e-09,-1.00953487e-12,2.61619824e-07,-1.62490900e-07,-1.26546131e-13,9.61617809e-10,1.62281042e-09,-1.01712215e-07
6.85000000e-05,-2.66840477e-12,3.24259813e-10,8.58175708e-10,2.43061765e-13,8.52581330e-16,5.89946510e-12,-1.18591050e-09,-9.72009946e-13,2.58094008e-07,-1.60303670e-07,-7.18789120e-14,9.49224244e-10,1.60107493e-09,-1.00339594e-07
7.30000000e-05,-2.56260970e-12,3.27469956e-10,6.94571236e-10,1.48834104e-13,8.72746703e-16,5.97426792e-12,-1.02560256e-09,-1.12758354e-12,2.54635834e-07,-1.58158340e-07,-3.19581803e-13,9.37063819e-10,1.57975550e-09,-9.89928653e-08
7.75000000e-05,-2.34419368e-12,3.30850271e-10,5.34986521e-10,6.69640798e-14,8.92930033e-16,6.05154337e-12,-8.69611999e-10,-1.25568127e-12,2.51243611e-07,-1.56053899e-07,-5.34981511e-13,9.25130709e-10,1.55884143e-09,-9.76718940e-08
8.20000000e-05,-1.97196667e-12,3.34396911e-10,3.75501044e-10,3.64299241e-13,9.13192224e-16,6.13123818e-12,-7.14422439e-10,-8.01843779e-13,2.47915667e-07,-1.53989391e-07,1.19325959e-13,9.13418984e-10,1.53832151e-09,-9.63773343e-08
8.65000000e-05,-2.18966640e-12,3.38106630e-10,2.19052627e-10,2.85921290e-13,9.33318838e-16,6.21330499e-12,-5.61469750e-10,-9.84119577e-13,2.44650522e-07,-1.51963756e-07,-1.07963958e-13,9.01924361e-10,1.51818833e-09,-9.51057860e-08
9.10000000e-05,-3.16263211e-12,3.41975755e-10,6.08761674e-11,1.29372976e-13,9.53316473e-16,6.29769247e-12,-4.06117309e-10,-1.35540238e-12,2.41446596e-07,-1.49976094e-07,-5.40818239e-13,8.90641322e-10,1.49843128e-09,-9.38576782e-08
9.55000000e-05,-5.23067459e-12,3.46000764e-10,-1.02993823e-10,7.35903531e-16,9.73133544e-16,6.38435097e-12,-2.44162327e-10,-1.76028332e-12,2.38302375e-07,-1.48025505e-07,-9.42581529e-13,8.79564745e-10,1.47904056e-09,-9.26327718e-08
1.00000000e-04,-6.13521100e-12,3.50178606e-10,-2.55481804e-10,-8.85939076e-14,9.93168296e-16,6.47323894e-12,-9.49472295e-11,-2.03143977e-12,2.35216492e-07,-1.46111043e-07,-1.22119676e-12,8.68689790e-10,1.46000939e-09,-9.14308951e-08
1.45000000e-04,-1.59703074e-12,3.99688324e-10,-1.55391936e-09,6.92896017e-13,1.19650420e-15,7.47515766e-12,1.14765881e-09,-4.85699251e-13,2.07278557e-07,-1.28777388e-07,4.72679515e-13,7.70057410e-10,1.28767007e-09,-8.05588836e-08
1.90000000e-04,4.04629815e-12,4.61395702e-10,-2.63103484e-09,1.87704562e-12,1.40265431e-15,8.65609712e-12,2.15505829e-09,3.18886780e-12,1.83874148e-07,-1.14255024e-07,3.66100440e-12,6.87172845e-10,1.14322983e-09,-7.14563766e-08
2.35000000e-04,9.78312338e-13,5.33082899e-10,-3.56723827e-09,1.30509248e-12,1.60703529e-15,9.98417077e-12,3.02188619e-09,1.43747220e-12,1.64106467e-07,-1.01988339e-07,1.85978834e-12,6.16971956e-10,1.02117877e-09,-6.37595765e-08
2.80000000e-04,6.13006128e-13,6.12977743e-10,-4.35061202e-09,1.40140088e-12,1.81403103e-15,1.14336894e-11,3.72418436e-09,1.62998715e-12,1.47288691e-07,-9.15511615e-08,1.92144623e-12,5.57100775e-10,9.17334408e-10,-5.72155162e-08
3.25000000e-04,-1.50891328e-12,6.99648575e-10,-5.02444865e-09,1.22531988e-12,2.02180372e-15,1.29836861e-11,4.31209796e-09,2.99211564e-13,1.32887421e-07,-8.26133204e-08,1.10273530e-12,5.05704827e-10,8.28339533e-10,-5.16095466e-08
3.70000000e-04,-1.28566816e-12,7.91929620e-10,-5.59919347e-09,1.47002657e-12,2.23328277e-15,1.46169799e-11,4.79246028e-09,1.60130617e-12,1.20483278e-07,-7.49143253e-08,1.98179185e-12,4.61334855e-10,7.51661491e-10,-4.67855326e-08
4.15000000e-04,9.22138233e-11,8.88877501e-10,-5.77244167e-09,5.49322033e-12,2.52310894e-15,1.63199151e-11,4.76953469e-09,9.60308152e-11,1.09745930e-07,-6.82494239e-08,3.78630717e-11,4.22832226e-10,6.85234593e-10,-4.27384664e-08
4.60000000e-04,1.12256080e-10,9.89717117e-10,-6.14489676e-09,2.96321820e-12,2.76823297e-15,1.80803946e-11,5.02187718e-09,1.21733624e-10,1.00411329e-07,-6.24564486e-08,4.17295184e-11,3.89267108e-10,6.27334401e-10,-3.91349445e-08
