t(s),Temperature,Pressure,Density,Mass,Volume,IntEnergy,mdot_in,mdot_out,mdot_surf,mdot
8.20000000e-05,9.00000000e+02,9.75021070e+04,1.14273148e-01,1.14273148e-07,1.00000000e-06,3.31154276e+06,-1.15305513e-07,-1.15267284e-07,-3.12542720e-09,-3.08719831e-09,
8.65000000e-05,9.00000000e+02,9.75021133e+04,1.14273135e-01,1.14273135e-07,1.00000000e-06,3.31154280e+06,-1.15305513e-07,-1.15267284e-07,-2.92418487e-09,-2.88595616e-09,
9.10000000e-05,9.00000000e+02,9.75021194e+04,1.14273123e-01,1.14273123e-07,1.00000000e-06,3.31154278e+06,-1.15305513e-07,-1.15267284e-07,-2.92418487e-09,-2.88595616e-09,
9.55000000e-05,9.00000000e+02,9.75021251e+04,1.14273111e-01,1.14273111e-07,1.00000000e-06,3.31154272e+06,-1.15305513e-07,-1.15267284e-07,-2.92418487e-09,-2.88595616e-09,
1.00000000e-04,9.00000000e+02,9.75021305e+04,1.14273099e-01,1.14273099e-07,1.00000000e-06,3.31154262e+06,-1.15305513e-07,-1.15267284e-07,-2.46572862e-09,-2.42750006e-09,
1.45000000e-04,9.00000000e+02,9.75021714e+04,1.14273003e-01,1.14273003e-07,1.00000000e-06,3.31153935e+06,-1.15305513e-07,-1.15267284e-07,-1.68295206e-09,-1.64472384e-09,
1.90000000e-04,9.00000000e+02,9.75021932e+04,1.14272935e-01,1.14272935e-07,1.00000000e-06,3.31153301e+06,-1.15305513e-07,-1.15267285e-07,-1.24071111e-09,-1.20248306e-09,
2.35000000e-04,9.00000000e+02,9.75022020e+04,1.14272888e-01,1.14272888e-07,1.00000000e-06,3.31152459e+06,-1.15305513e-07,-1.15267285e-07,-8.43766599e-10,-8.05538626e-10,
2.80000000e-04,9.00000000e+02,9.75022021e+04,1.14272853e-01,1.14272853e-07,1.00000000e-06,3.31151476e+06,-1.15305513e-07,-1.15267285e-07,-6.01937978e-10,-5.63709977e-10,
3.25000000e-04,9.00000000e+02,9.75021962e+04,1.14272828e-01,1.14272828e-07,1.00000000e-06,3.31150396e+06,-1.15305513e-07,-1.15267285e-07,-5.20136710e-10,-4.81908668e-10,
3.70000000e-04,9.00000000e+02,9.75021863e+04,1.14272808e-01,1.14272808e-07,1.00000000e-06,3.31149252e+06,-1.15305513e-07,-1.15267285e-07,-3.96392788e-10,-3.58164624e-10,
4.15000000e-04,9.00000000e+02,9.75021737e+04,1.14272793e-01,1.14272793e-07,1.00000000e-06,3.31148065e+06,-1.15305513e-07,-1.15267284e-07,-3.32974462e-10,-2.94746179e-10,
4.60000000e-04,9.00000000e+02,9.75021592e+04,1.14272781e-01,1.14272781e-07,1.00000000e-06,3.31146847e+06,-1.15305513e-07,-1.15267284e-07,-2.71411865e-10,-2.33183369e-10,
5.05000000e-04,9.00000000e+02,9.75021436e+04,1.14272770e-01,1.14272770e-07,1.00000000e-06,3.31145610e+06,-1.15305513e-07,-1.15267284e-07,-2.47006276e-10,-2.08777635e-10,
5.50000000e-04,9.00000000e+02,9.75021272e+04,1.14272761e-01,1.14272761e-07,1.00000000e-06,3.31144361e+06,-1.15305513e-07,-1.15267284e-07,-2.29281875e-10,-1.91053083e-10,
5.95000000e-04,9.00000000e+02,9.75021102e+04,1.14272753e-01,1.14272753e-07,1.00000000e-06,3.31143103e+06,-1.15305513e-07,-1.15267284e-07,-2.17805177e-10,-1.79576229e-10,
6.40000000e-04,9.00000000e+02,9.75020929e+04,1.14272745e-01,1.14272745e-07,1.00000000e-06,3.31141840e+06,-1.15305513e-07,-1.15267284e-07,-1.99810830e-10,-1.61581726e-10,
6.85000000e-04,9.00000000e+02,9.75020754e+04,1.14272737e-01,1.14272737e-07,1.00000000e-06,3.31140573e+06,-1.15305513e-07,-1.15267283e-07,-2.17386141e-10,-1.79156878e-10,
7.30000000e-04,9.00000000e+02,9.75020578e+04,1.14272730e-01,1.14272730e-07,1.00000000e-06,3.31139304e+06,-1.15305513e-07,-1.15267283e-07,-1.87702517e-10,-1.49473094e-10,
7.75000000e-04,9.00000000e+02,9.75020402e+04,1.14272723e-01,1.14272723e-07,1.00000000e-06,3.31138034e+06,-1.15305513e-07,-1.15267283e-07,-1.95559652e-10,-1.57329799e-10,
8.20000000e-04,9.00000000e+02,9.75020225e+04,1.14272715e-01,1.14272715e-07,1.00000000e-06,3.31136764e+06,-1.15305513e-07,-1.15267283e-07,-1.95559652e-10,-1.57329799e-10,
8.65000000e-04,9.00000000e+02,9.75020048e+04,1.14272708e-01,1.14272708e-07,1.00000000e-06,3.31135494e+06,-1.15305513e-07,-1.15267283e-07,-1.94662680e-10,-1.56432556e-10,
9.10000000e-04,9.00000000e+02,9.75019871e+04,1.14272701e-01,1.14272701e-07,1.00000000e-06,3.31134225e+06,-1.15305513e-07,-1.15267282e-07,-2.03314327e-10,-1.65083933e-10,
9.55000000e-04,9.00000000e+02,9.75019695e+04,1.14272694e-01,1.14272694e-07,1.00000000e-06,3.31132955e+06,-1.15305513e-07,-1.15267282e-07,-2.03314327e-10,-1.65083933e-10,
1.00000000e-03,9.00000000e+02,9.75019519e+04,1.14272687e-01,1.14272687e-07,1.00000000e-06,3.31131687e+06,-1.15305513e-07,-1.15267282e-07,-1.98426497e-10,-1.60195836e-10,
1.45000000e-03,9.00000000e+02,9.75017794e+04,1.14272612e-01,1.14272612e-07,1.00000000e-06,3.31119052e+06,-1.15305513e-07,-1.15267280e-07,-2.14234843e-10,-1.76002421e-10,
1.90000000e-03,9.00000000e+02,9.75016134e+04,1.14272531e-01,1.14272531e-07,1.00000000e-06,3.31106516e+06,-1.15305513e-07,-1.15267279e-07,-2.44084053e-10,-2.05849912e-10,
2.35000000e-03,9.00000000e+02,9.75014538e+04,1.14272444e-01,1.14272444e-07,1.00000000e-06,3.31094079e+06,-1.15305513e-07,-1.15267277e-07,-2.37263737e-10,-1.99027552e-10,
2.80000000e-03,9.00000000e+02,9.75013005e+04,1.14272350e-01,1.14272350e-07,1.00000000e-06,3.31081740e+06,-1.15305513e-07,-1.15267275e-07,-2.71316513e-10,-2.33078484e-10,
3.25000000e-03,9.00000000e+02,9.75011537e+04,1.14272251e-01,1.14272251e-07,1.00000000e-06,3.31069499e+06,-1.15305513e-07,-1.15267274e-07,-2.83641105e-10,-2.45401992e-10,
3.70000000e-03,9.00000000e+02,9.75010131e+04,1.14272145e-01,1.14272145e-07,1.00000000e-06,3.31057356e+06,-1.15305513e-07,-1.15267273e-07,-2.81353806e-10,-2.43113646e-10,
4.15000000e-03,9.00000000e+02,9.75008788e+04,1.14272033e-01,1.14272033e-07,1.00000000e-06,3.31045309e+06,-1.15305513e-07,-1.15267270e-07,-3.07782856e-10,-2.69540017e-10,
4.60000000e-03,9.00000000e+02,9.75007508e+04,1.14271915e-01,1.14271915e-07,1.00000000e-06,3.31033358e+06,-1.15305513e-07,-1.15267270e-07,-3.07782856e-10,-2.69540017e-10,
5.05000000e-03,9.00000000e+02,9.75006289e+04,1.14271792e-01,1.14271792e-07,1.00000000e-06,3.31021503e+06,-1.15305513e-07,-1.15267268e-07,-2.95820447e-10,-2.57576048e-10,
5.50000000e-03,9.00000000e+02,9.75005131e+04,1.14271662e-01,1.14271662e-07,1.00000000e-06,3.31009742e+06,-1.15305513e-07,-1.15267267e-07,-3.11569544e-10,-2.73323689e-10,
5.95000000e-03,9.00000000e+02,9.75004034e+04,1.14271526e-01,1.14271526e-07,1.00000000e-06,3.30998075e+06,-1.15305513e-07,-1.15267264e-07,-4.87370496e-10,-4.49121793e-10,
6.40000000e-03,9.00000000e+02,9.75002998e+04,1.14271385e-01,1.14271385e-07,1.00000000e-06,3.30986501e+06,-1.15305513e-07,-1.15267264e-07,-4.87370496e-10,-4.49121793e-10,
6.85000000e-03,9.00000000e+02,9.75002021e+04,1.14271238e-01,1.14271238e-07,1.00000000e-06,3.30975020e+06,-1.15305513e-07,-1.15267264e-07,-4.87370496e-10,-4.49121793e-10,
7.30000000e-03,9.00000000e+02,9.75001104e+04,1.14271084e-01,1.14271084e-07,1.00000000e-06,3.30963631e+06,-1.15305513e-07,-1.15267262e-07,-4.56792355e-10,-4.18541297e-10,
7.75000000e-03,9.00000000e+02,9.75000246e+04,1.14270926e-01,1.14270926e-07,1.00000000e-06,3.30952334e+06,-1.15305513e-07,-1.15267262e-07,-4.56792355e-10,-4.18541297e-10,
8.20000000e-03,9.00000000e+02,9.74999446e+04,1.14270761e-01,1.14270761e-07,1.00000000e-06,3.30941128e+06,-1.15305513e-07,-1.15267262e-07,-4.56792355e-10,-4.18541297e-10,
8.65000000e-03,9.00000000e+02,9.74998705e+04,1.14270591e-01,1.14270591e-07,1.00000000e-06,3.30930012e+06,-1.15305513e-07,-1.15267260e-07,-5.11074763e-10,-4.72821833e-10,
9.10000000e-03,9.00000000e+02,9.74998021e+04,1.14270415e-01,1.14270415e-07,1.00000000e-06,3.30918986e+06,-1.15305513e-07,-1.15267260e-07,-5.11074763e-10,-4.72821833e-10,
9.55000000e-03,9.00000000e+02,9.74997395e+04,1.14270233e-01,1.14270233e-07,1.00000000e-06,3.30908048e+06,-1.15305513e-07,-1.15267260e-07,-5.11074763e-10,-4.72821833e-10,
1.00000000e-02,9.00000000e+02,9.74996825e+04,1.14270046e-01,1.14270046e-07,1.00000000e-06,3.30897200e+06,-1.15305513e-07,-1.15267258e-07,-9.62912409e-10,-9.24657493e-10,
1.45000000e-02,9.00000000e+02,9.74994168e+04,1.14267878e-01,1.14267878e-07,1.00000000e-06,3.30793456e+06,-1.15305513e-07,-1.15267257e-07,-3.84737713e-09,-3.80912156e-09,
1.90000000e-02,9.00000000e+02,9.74996750e+04,1.14265191e-01,1.14265191e-07,1.00000000e-06,3.30697928e+06,-1.15305513e-07,-1.15267261e-07,-1.21641496e-09,-1.17816290e-09,
2.35000000e-02,9.00000000e+02,9.75004207e+04,1.14262020e-01,1.14262020e-07,1.00000000e-06,3.30610138e+06,-1.15305513e-07,-1.15267268e-07,-9.01392933e-11,-5.18946682e-11,
2.80000000e-02,9.00000000e+02,9.75016170e+04,1.14258397e-01,1.14258397e-07,1.00000000e-06,3.30529543e+06,-1.15305513e-07,-1.15267279e-07,-1.83806574e-09,-1.79983216e-09,
3.25000000e-02,9.00000000e+02,9.75032312e+04,1.14254351e-01,1.14254351e-07,1.00000000e-06,3.30455676e+06,-1.15305513e-07,-1.15267302e-07,1.55271281e-10,1.93481943e-10,
3.70000000e-02,9.00000000e+02,9.75052314e+04,1.14249911e-01,1.14249911e-07,1.00000000e-06,3.30388124e+06,-1.15305513e-07,-1.15267321e-07,5.81820955e-09,5.85640108e-09,
4.15000000e-02,9.00000000e+02,9.75075891e+04,1.14245104e-01,1.14245104e-07,1.00000000e-06,3.30326465e+06,-1.15305513e-07,-1.15267349e-07,-1.27531787e-09,-1.23715457e-09,
4.60000000e-02,9.00000000e+02,9.75102778e+04,1.14239955e-01,1.14239955e-07,1.00000000e-06,3.30270319e+06,-1.15305513e-07,-1.15267368e-07,-1.98045047e-09,-1.94230625e-09,
5.05000000e-02,9.00000000e+02,9.75132726e+04,1.14234488e-01,1.14234488e-07,1.00000000e-06,3.30219325e+06,-1.15305513e-07,-1.15267431e-07,-1.35098628e-09,-1.31290470e-09,
5.50000000e-02,9.00000000e+02,9.75165480e+04,1.14228725e-01,1.14228725e-07,1.00000000e-06,3.30173148e+06,-1.15305513e-07,-1.15267431e-07,-1.35098628e-09,-1.31290470e-09,
5.95000000e-02,9.00000000e+02,9.75200914e+04,1.14222688e-01,1.14222688e-07,1.00000000e-06,3.30131488e+06,-1.15305513e-07,-1.15267477e-07,-7.77554818e-09,-7.73751276e-09,
