t(s),N2(T),N(T),H(T),NH3(T),NH2(T),NH(T),RU(T),N2(S),N(S),H(S),NH3(S),NH2(S),NH(S),RU(S)
6.40000000e-05,2.49458786e-05,8.31609657e-08,3.25101155e-01,6.81113386e-12,9.83441397e-13,1.28447170e-09,6.74873815e-01,5.22869897e-06,3.95048359e-04,3.24554651e-01,1.77853334e-10,6.64917615e-06,2.04948072e-06,6.75036374e-01
6.85000000e-05,2.49458695e-05,8.90479642e-08,3.25101155e-01,7.64797099e-12,1.05527878e-12,1.37662205e-09,6.74873809e-01,5.22875001e-06,4.13498439e-04,3.24528957e-01,1.98188361e-10,6.96778406e-06,2.14566618e-06,6.75043203e-01
7.30000000e-05,2.49458604e-05,9.49427301e-08,3.25101154e-01,8.52251594e-12,1.12737776e-12,1.46893698e-09,6.74873804e-01,5.22879912e-06,4.31276144e-04,3.24504199e-01,2.19359985e-10,7.27512888e-06,2.23835900e-06,6.75049783e-01
7.75000000e-05,2.49458514e-05,1.00845610e-07,3.25101153e-01,9.43333525e-12,1.19973576e-12,1.56142012e-09,6.74873799e-01,5.22884637e-06,4.48406988e-04,3.24480343e-01,2.41336175e-10,7.57163545e-06,2.32769158e-06,6.75056123e-01
8.20000000e-05,2.49458424e-05,1.06756931e-07,3.25101151e-01,1.03790760e-11,1.27235050e-12,1.65407509e-09,6.74873795e-01,5.22889183e-06,4.64915057e-04,3.24457354e-01,2.64086823e-10,7.85769305e-06,2.41378991e-06,6.75062232e-01
8.65000000e-05,2.49458334e-05,1.12677013e-07,3.25101149e-01,1.13584116e-11,1.34521962e-12,1.74690526e-09,6.74873791e-01,5.22893557e-06,4.80823961e-04,3.24435198e-01,2.87582326e-10,8.13369616e-06,2.49677665e-06,6.75068119e-01
9.10000000e-05,2.49458244e-05,1.18606170e-07,3.25101146e-01,1.23700469e-11,1.41834071e-12,1.83991381e-09,6.74873788e-01,5.22897766e-06,4.96156739e-04,3.24413846e-01,3.11793727e-10,8.40004036e-06,2.57677086e-06,6.75073792e-01
9.55000000e-05,2.49458154e-05,1.24544687e-07,3.25101143e-01,1.34127962e-11,1.49171179e-12,1.93310393e-09,6.74873785e-01,5.22901815e-06,5.10934504e-04,3.24393266e-01,3.36694711e-10,8.65706390e-06,2.65388291e-06,6.75079260e-01
1.00000000e-04,2.49458065e-05,1.30492848e-07,3.25101139e-01,1.44854856e-11,1.56533079e-12,2.02647863e-09,6.74873783e-01,5.22905712e-06,5.25178145e-04,3.24373430e-01,3.62259151e-10,8.90511439e-06,2.72822144e-06,6.75084530e-01
1.45000000e-04,2.49457180e-05,1.90560407e-07,3.25101079e-01,2.66288647e-11,2.31474607e-12,2.97096349e-09,6.74873782e-01,5.22937425e-06,6.42334315e-04,3.24210270e-01,6.49273769e-10,1.09607710e-05,3.34035365e-06,6.75127866e-01
1.90000000e-04,2.49456308e-05,2.51836678e-07,3.25100987e-01,4.07523023e-11,3.08715133e-12,3.93649369e-09,6.74873812e-01,5.22959004e-06,7.24120376e-04,3.24096345e-01,9.80114720e-10,1.24210004e-05,3.76889409e-06,6.75158115e-01
2.35000000e-04,2.49455446e-05,3.14474657e-07,3.25100873e-01,5.62187742e-11,3.88141141e-12,4.92469038e-09,6.74873862e-01,5.22973704e-06,7.81870266e-04,3.24015872e-01,1.34067167e-09,1.34758750e-05,4.07270897e-06,6.75179479e-01
2.80000000e-04,2.49454589e-05,3.78577279e-07,3.25100744e-01,7.25978335e-11,4.69675419e-12,5.93664214e-09,6.74873927e-01,5.22983719e-06,8.23241680e-04,3.23958189e-01,1.72142199e-09,1.42541907e-05,4.29155159e-06,6.75194793e-01
3.25000000e-04,2.49453736e-05,4.44214746e-07,3.25100603e-01,8.95943177e-11,5.53264584e-12,6.97308950e-09,6.74874001e-01,5.22990553e-06,8.53485272e-04,3.23915989e-01,2.11583671e-09,1.48444370e-05,4.45267025e-06,6.75205998e-01
3.70000000e-04,2.49452887e-05,5.11434654e-07,3.25100453e-01,1.07006556e-10,6.38871742e-12,8.03453275e-09,6.74874083e-01,5.22995233e-06,8.76188424e-04,3.23884278e-01,2.51945304e-09,1.53071563e-05,4.57467743e-06,6.75214420e-01
4.15000000e-04,2.49452040e-05,5.80268530e-07,3.25100297e-01,1.24699385e-10,7.26471733e-12,9.12130134e-09,6.74874169e-01,5.22998444e-06,8.93755362e-04,3.23859713e-01,2.92927578e-09,1.56829664e-05,4.67004465e-06,6.75220947e-01
4.60000000e-04,2.49451194e-05,6.50737025e-07,3.25100135e-01,1.42582649e-10,8.16047342e-12,1.02336092e-08,6.74874259e-01,5.23000647e-06,9.07789724e-04,3.23840062e-01,3.34330563e-09,1.59989791e-05,4.74708949e-06,6.75226169e-01
5.05000000e-04,2.49450349e-05,7.22854984e-07,3.25099970e-01,1.60590274e-10,9.07585616e-12,1.13716087e-08,6.74874351e-01,5.23002177e-06,9.19466850e-04,3.23823691e-01,3.76007470e-09,1.62750529e-05,4.81190880e-06,6.75230523e-01
5.50000000e-04,2.49449506e-05,7.96632141e-07,3.25099801e-01,1.78677361e-10,1.00107735e-11,1.25353978e-08,6.74874445e-01,5.23003261e-06,9.29585385e-04,3.23809487e-01,4.17858016e-09,1.65247277e-05,4.86864244e-06,6.75234301e-01
5.95000000e-04,2.49448663e-05,8.72073870e-07,3.25099629e-01,1.96817058e-10,1.09651652e-11,1.37250281e-08,6.74874541e-01,5.23004037e-06,9.38622972e-04,3.23796787e-01,4.59822596e-09,1.67560694e-05,4.91976888e-06,6.75237681e-01
6.40000000e-04,2.49447820e-05,9.49183282e-07,3.25099453e-01,2.14991895e-10,1.19389875e-11,1.49405273e-08,6.74874638e-01,5.23004593e-06,9.46890430e-04,3.23785159e-01,5.01862441e-09,1.69743364e-05,4.96689940e-06,6.75240776e-01
6.85000000e-04,2.49446979e-05,1.02796264e-06,3.25099276e-01,2.33187912e-10,1.29322032e-11,1.61819140e-08,6.74874736e-01,5.23005001e-06,9.54636079e-04,3.23774256e-01,5.43945235e-09,1.71837529e-05,5.01132082e-06,6.75243678e-01
7.30000000e-04,2.49446137e-05,1.10841333e-06,3.25099095e-01,2.51394866e-10,1.39447813e-11,1.74491975e-08,6.74874834e-01,5.23005311e-06,9.62042242e-04,3.23763826e-01,5.86049283e-09,1.73873818e-05,5.05397983e-06,6.75246455e-01
7.75000000e-04,2.49445297e-05,1.19053573e-06,3.25098913e-01,2.69606569e-10,1.49766982e-11,1.87423765e-08,6.74874934e-01,5.23005556e-06,9.69219014e-04,3.23753715e-01,6.28160280e-09,1.75870952e-05,5.09544678e-06,6.75249148e-01
8.20000000e-04,2.49444456e-05,1.27432979e-06,3.25098728e-01,2.87818727e-10,1.60279337e-11,2.00614450e-08,6.74875034e-01,5.23005758e-06,9.76242842e-04,3.23743817e-01,6.70268392e-09,1.77841871e-05,5.13611786e-06,6.75251784e-01
8.65000000e-04,2.49443616e-05,1.35979491e-06,3.25098540e-01,3.06029200e-10,1.70984712e-11,2.14063915e-08,6.74875134e-01,5.23005927e-06,9.83151863e-04,3.23734079e-01,7.12368437e-09,1.79793126e-05,5.17619065e-06,6.75254377e-01
9.10000000e-04,2.49442776e-05,1.44693045e-06,3.25098350e-01,3.24236188e-10,1.81882949e-11,2.27772034e-08,6.74875236e-01,5.23006073e-06,9.89978200e-04,3.23724457e-01,7.54457016e-09,1.81730086e-05,5.21583228e-06,6.75256940e-01
9.55000000e-04,2.49441937e-05,1.53573564e-06,3.25098159e-01,3.42438259e-10,1.92973896e-11,2.41738674e-08,6.74875337e-01,5.23006203e-06,9.96747385e-04,3.23714913e-01,7.96531044e-09,1.83656990e-05,5.25517502e-06,6.75259481e-01
1.00000000e-03,2.49441098e-05,1.62620948e-06,3.25097964e-01,3.60635061e-10,2.04257419e-11,2.55963674e-08,6.74875440e-01,5.23006318e-06,1.00346580e-03,3.23705441e-01,8.38589462e-09,1.85575023e-05,5.29425190e-06,6.75262004e-01
