t(s),N2(T),N(T),H(T),NH3(T),NH2(T),NH(T),RU(T),N2(S),N(S),H(S),NH3(S),NH2(S),NH(S),RU(S)
4.60000000e-06,-5.45063220e-14,3.32120146e-11,5.95088362e-11,8.16450762e-16,3.87413077e-16,5.15196345e-13,-9.31827447e-11,9.08550192e-14,3.58490022e-09,-4.99483062e-09,5.53011347e-16,6.26844593e-11,1.87613553e-11,1.32839318e-09
5.05000000e-06,-5.48105002e-14,3.32125352e-11,5.89658883e-11,8.54255016e-16,3.87695029e-16,5.15386722e-13,-9.26402417e-11,5.61298700e-14,3.57193284e-09,-4.97624970e-09,5.76280815e-16,6.16812680e-11,1.86475992e-11,1.32393128e-09
5.50000000e-06,-5.55032586e-14,3.32131959e-11,5.84271485e-11,8.91691253e-16,3.87896699e-16,5.15472486e-13,-9.21015932e-11,5.06898212e-14,3.55878333e-09,-4.95762326e-09,5.87472617e-16,6.10360679e-11,1.85541241e-11,1.31919846e-09
5.95000000e-06,-5.38645508e-14,3.32139469e-11,5.78774669e-11,9.29653983e-16,3.88055727e-16,5.15503239e-13,-9.15543701e-11,2.66628290e-13,3.54554106e-09,-4.93836550e-09,5.32708820e-16,6.06120789e-11,1.84731782e-11,1.31347202e-09
6.40000000e-06,-5.46405803e-14,3.32147388e-11,5.72817105e-11,9.65413210e-16,3.88209250e-16,5.15527796e-13,-9.09586902e-11,4.62929414e-14,3.53227693e-09,-4.92034090e-09,6.18024373e-16,6.03003261e-11,1.83989033e-11,1.30931783e-09
6.85000000e-06,-5.32239215e-14,3.32155533e-11,5.67455538e-11,1.00174369e-15,3.88370963e-16,5.15564307e-13,-9.04248376e-11,1.16106291e-14,3.51903175e-09,-4.90208891e-09,6.55787228e-16,6.00383657e-11,1.83276315e-11,1.30467890e-09
7.30000000e-06,-5.41387333e-14,3.32163930e-11,5.61752960e-11,1.03750770e-15,3.88539012e-16,5.15610034e-13,-8.98545864e-11,-1.22338616e-13,3.50582629e-09,-4.88408006e-09,7.17127323e-16,5.97941445e-11,1.82575849e-11,1.30032366e-09
7.75000000e-06,-5.31661680e-14,3.32172555e-11,5.56206726e-11,1.07403208e-15,3.88714955e-16,5.15667076e-13,-8.93018918e-11,-6.02635997e-14,3.49266947e-09,-4.86553336e-09,7.06339289e-16,5.95538607e-11,1.81878873e-11,1.29518169e-09
8.20000000e-06,-5.55242740e-14,3.32181406e-11,5.49573379e-11,1.10741253e-15,3.88899270e-16,5.15735501e-13,-8.86371860e-11,-7.11279988e-13,3.47959411e-09,-4.84883072e-09,9.13063556e-16,5.92666750e-11,1.81159783e-11,1.29256433e-09
8.65000000e-06,-5.81044267e-14,3.32190560e-11,5.43211906e-11,1.14078133e-15,3.89085829e-16,5.15807539e-13,-8.79994796e-11,-1.33973214e-12,3.46657815e-09,-4.83217250e-09,1.11424973e-15,5.89662786e-11,1.80435392e-11,1.28992315e-09
9.10000000e-06,-5.64934897e-14,3.32200131e-11,5.38161592e-11,1.17773367e-15,3.89265617e-16,5.15871696e-13,-8.74971175e-11,-1.08437674e-12,3.45358760e-09,-4.81351023e-09,1.05649678e-15,5.87046319e-11,1.79732607e-11,1.28432806e-09
9.55000000e-06,-5.57984888e-14,3.32210101e-11,5.34151518e-11,1.21686049e-15,3.89440108e-16,5.15929757e-13,-8.70978995e-11,-2.78005395e-13,3.44063178e-09,-4.79361967e-09,8.38339689e-16,5.84670918e-11,1.79044064e-11,1.27689356e-09
1.00000000e-05,-5.82398700e-14,3.32220253e-11,5.27664277e-11,1.24946377e-15,3.89626127e-16,5.16002903e-13,-8.64478551e-11,-1.00659111e-12,3.42778526e-09,-4.77743141e-09,1.07100298e-15,5.81386522e-11,1.78310579e-11,1.27468196e-09
1.45000000e-05,-5.40933102e-14,3.32341842e-11,4.76419674e-11,1.60394306e-15,3.91311118e-16,5.16547182e-13,-8.13406007e-11,2.23225581e-13,3.30107138e-09,-4.59729026e-09,7.05495978e-16,5.63357606e-11,1.71893730e-11,1.22246981e-09
1.90000000e-05,-5.41935568e-14,3.32494647e-11,4.25896739e-11,1.93684253e-15,3.93019094e-16,5.17184728e-13,-7.63044596e-11,6.13444259e-14,3.17931901e-09,-4.42820769e-09,1.00347263e-15,5.43036884e-11,1.65564921e-11,1.17796616e-09
2.35000000e-05,-5.31005094e-14,3.32678206e-11,3.76612185e-11,2.25719080e-15,3.94694640e-16,5.17841283e-13,-7.13964317e-11,-6.67938473e-14,3.06211440e-09,-4.26540223e-09,1.32388455e-15,5.24017123e-11,1.59504750e-11,1.13500112e-09
2.80000000e-05,-5.28958285e-14,3.32891157e-11,3.29614801e-11,2.56888514e-15,3.96354219e-16,5.18536057e-13,-6.67192013e-11,4.29411507e-14,2.94937112e-09,-4.10784704e-09,1.32074668e-15,5.04978138e-11,1.53627526e-11,1.09257109e-09
3.25000000e-05,-5.34962401e-14,3.33132449e-11,2.84159666e-11,2.86539255e-15,3.97994078e-16,5.19262028e-13,-6.21982407e-11,-5.20656075e-14,2.84086416e-09,-3.95693791e-09,1.60937838e-15,4.86795101e-11,1.47985817e-11,1.05264611e-09
3.70000000e-05,-5.39580479e-14,3.33401038e-11,2.40367920e-11,3.15038764e-15,3.99612817e-16,5.20015506e-13,-5.78465033e-11,-1.47632735e-13,2.73641756e-09,-3.81178007e-09,1.89425189e-15,4.69708478e-11,1.42581603e-11,1.01427924e-09
4.15000000e-05,-5.12281317e-14,3.33695897e-11,1.98427409e-11,3.42219120e-15,4.01211271e-16,5.20795057e-13,-5.36857209e-11,-3.45413949e-13,2.63592345e-09,-3.67240429e-09,2.38281163e-15,4.52999811e-11,1.37369831e-11,9.77786915e-10
4.60000000e-05,-5.29115128e-14,3.34015987e-11,1.57597903e-11,3.69373702e-15,4.02793533e-16,5.21604264e-13,-4.96341783e-11,-6.10276998e-14,2.53924159e-09,-3.53671992e-09,2.03341509e-15,4.36557989e-11,1.32321172e-11,9.40649411e-10
5.05000000e-05,-5.19305133e-14,3.34360380e-11,1.18635940e-11,3.94271753e-15,4.04358354e-16,5.22439612e-13,-4.57744882e-11,-2.91653735e-13,2.44619704e-09,-3.40781584e-09,2.69373376e-15,4.20819832e-11,1.27486350e-11,9.07077142e-10
