 Experimental condition #  1
Vol [cm3]             N2(T)              N(T)               H(T)               NH3(T)             NH2(T)             NH(T)              RU(T)              N2(S)              N(S)               H(S)               NH3(S)             NH2(S)             NH(S)              RU(S)                     Temp. [K]
   7.60000000E-001    4.84041212E-006    2.99249317E-001    2.29759043E-002    7.01094092E-007    1.09950136E-005    1.74087692E-003    6.76017366E-001    9.96878513E-007    2.89599255E-001    2.27894126E-002    1.62483990E-005    2.25312423E-002    6.33825769E-004    6.64429020E-001    9.00000000E+002
   7.70000000E-001    4.87521599E-006    2.98858884E-001    2.31367981E-002    7.03382591E-007    1.10031942E-005    1.74511295E-003    6.76242624E-001    1.00411666E-006    2.89162854E-001    2.29612738E-002    1.63133312E-005    2.25263477E-002    6.35263084E-004    6.64696944E-001    9.00000000E+002
   7.80000000E-001    4.90975220E-006    2.98472554E-001    2.32966897E-002    7.05646482E-007    1.10109966E-005    1.74928585E-003    6.76464844E-001    1.01129871E-006    2.88732047E-001    2.31319495E-002    1.63774224E-005    2.25213198E-002    6.36679401E-004    6.64960616E-001    9.00000000E+002
   7.90000000E-001    4.94402579E-006    2.98090243E-001    2.34555961E-002    7.07886196E-007    1.10184351E-005    1.75339725E-003    6.76684093E-001    1.01842572E-006    2.88306688E-001    2.33014621E-002    1.64406919E-005    2.25161642E-002    6.38075259E-004    6.65220151E-001    9.00000000E+002
   8.00000000E-001    4.97804162E-006    2.97711867E-001    2.36135334E-002    7.10102146E-007    1.10255235E-005    1.75744874E-003    6.76900437E-001    1.02549873E-006    2.87886636E-001    2.34698330E-002    1.65031580E-005    2.25108857E-002    6.39451172E-004    6.65475665E-001    9.00000000E+002
   8.10000000E-001    5.01180436E-006    2.97337346E-001    2.37705176E-002    7.12294729E-007    1.10322750E-005    1.76144184E-003    6.77113939E-001    1.03251873E-006    2.87471757E-001    2.36370830E-002    1.65648386E-005    2.25054893E-002    6.40807637E-004    6.65727266E-001    9.00000000E+002
   8.20000000E-001    5.04531863E-006    2.96966600E-001    2.39265641E-002    7.14464347E-007    1.10387019E-005    1.76537801E-003    6.77324659E-001    1.03948669E-006    2.87061919E-001    2.38032326E-002    1.66257509E-005    2.24999796E-002    6.42145134E-004    6.65975058E-001    9.00000000E+002
   8.30000000E-001    5.07860361E-006    2.96599504E-001    2.40817306E-002    7.16613787E-007    1.10448415E-005    1.76926099E-003    6.77532664E-001    1.04640656E-006    2.86656921E-001    2.39683460E-002    1.66859699E-005    2.24944003E-002    6.43464908E-004    6.66219135E-001    9.00000000E+002
   8.40000000E-001    5.11164856E-006    2.96236036E-001    2.42359882E-002    7.18740963E-007    1.10506791E-005    1.77308974E-003    6.77738005E-001    1.05327619E-006    2.86256722E-001    2.41323967E-002    1.67454520E-005    2.24887151E-002    6.44766596E-004    6.66459601E-001    9.00000000E+002
   8.50000000E-001    5.14445763E-006    2.95876124E-001    2.43893511E-002    7.20846237E-007    1.10562256E-005    1.77686557E-003    6.77940738E-001    1.06009645E-006    2.85861206E-001    2.42954032E-002    1.68042125E-005    2.24829280E-002    6.46050627E-004    6.66696548E-001    9.00000000E+002
   8.60000000E-001    5.17703484E-006    2.95519698E-001    2.45418332E-002    7.22929961E-007    1.10614913E-005    1.78058974E-003    6.78140917E-001    1.06686818E-006    2.85470260E-001    2.44573834E-002    1.68622665E-005    2.24770428E-002    6.47317412E-004    6.66930067E-001    9.00000000E+002
   8.70000000E-001    5.20938413E-006    2.95166691E-001    2.46934479E-002    7.24992484E-007    1.10664861E-005    1.78426348E-003    6.78338597E-001    1.07359223E-006    2.85083778E-001    2.46183547E-002    1.69196285E-005    2.24710632E-002    6.48567351E-004    6.67160244E-001    9.00000000E+002
   8.80000000E-001    5.24150931E-006    2.94817037E-001    2.48442083E-002    7.27034142E-007    1.10712196E-005    1.78788795E-003    6.78533827E-001    1.08026939E-006    2.84701654E-001    2.47783340E-002    1.69763125E-005    2.24649926E-002    6.49800829E-004    6.67387162E-001    9.00000000E+002
   8.90000000E-001    5.27341409E-006    2.94470672E-001    2.49941272E-002    7.29055266E-007    1.10757007E-005    1.79146428E-003    6.78726659E-001    1.08690046E-006    2.84323788E-001    2.49373380E-002    1.70323322E-005    2.24588345E-002    6.51018218E-004    6.67610902E-001    9.00000000E+002
   9.00000000E-001    5.30510209E-006    2.94127534E-001    2.51432170E-002    7.31056180E-007    1.10799382E-005    1.79499359E-003    6.78917140E-001    1.09348619E-006    2.83950083E-001    2.50953825E-002    1.70877009E-005    2.24525920E-002    6.52219878E-004    6.67831542E-001    9.00000000E+002
   9.10000000E-001    5.33657681E-006    2.93787562E-001    2.52914900E-002    7.33037201E-007    1.10839404E-005    1.79847692E-003    6.79105317E-001    1.10002733E-006    2.83580445E-001    2.52524832E-002    1.71424313E-005    2.24462682E-002    6.53406158E-004    6.68049155E-001    9.00000000E+002
