 Experimental condition #  1
Vol [cm3]             N2                 NH3                H2                 N2(T)              N(T)               H(T)               NH3(T)             NH2(T)             NH(T)              RU(T)              N2(S)              N(S)               H(S)               NH3(S)             NH2(S)             NH(S)              RU(S)                     Temp. [K]
   6.20000000E-001    5.13579756E-010   -1.02715945E-009    1.54073927E-009   -1.17282508E-018   -4.01924475E-021   -1.05096184E-017   -6.35738420E-017   -7.98229291E-022    4.81749989E-021    7.52562854E-017    5.43457662E-022   -2.39882378E-022    3.35769154E-020    1.21874806E-018   -2.77932686E-022    4.10281584E-022   -1.25276090E-018    9.00000000E+002
   6.30000000E-001    5.09406255E-010   -1.01881228E-009    1.52821876E-009   -5.48530076E-019    5.76002050E-022    3.64823232E-018   -2.27886441E-016    6.14181605E-023   -6.35274710E-022    2.24786736E-016    1.14764589E-020    9.75762930E-022   -4.98955345E-021    2.75219533E-019    2.51462906E-022   -1.24407964E-021   -2.81689585E-019    9.00000000E+002
   6.40000000E-001    5.05329318E-010   -1.01065915E-009    1.51598793E-009    2.56638795E-019    2.14195835E-021    4.14395732E-017    5.18169049E-016    1.02735832E-021   -3.17637355E-021   -5.59865254E-016   -3.07420124E-020   -1.51405071E-021   -6.23363310E-021   -5.90176823E-018    1.19114008E-022    1.53524722E-021    5.93860357E-018    9.00000000E+002
   6.50000000E-001    5.01345138E-010   -1.00269069E-009    1.50403544E-009   -1.66419860E-019   -7.24400837E-021   -5.65177053E-017    4.23605373E-016    7.79824522E-022    6.45862622E-021   -3.66921243E-016   -1.66940040E-020   -2.82265044E-021   -8.20563168E-022   -6.52628298E-018   -2.64697796E-023    3.09696421E-021    6.54354970E-018    9.00000000E+002
   6.60000000E-001    4.97450278E-010   -9.94900421E-010    1.49235080E-009   -1.18009452E-018    8.82557770E-021    6.23161279E-017   -1.36417694E-016    1.07864352E-021   -9.89969757E-021    7.52816557E-017    1.82952706E-020    9.96545843E-022    9.02619484E-021    4.32758397E-018   -4.23516474E-022   -8.33798057E-022   -4.35464467E-018    9.00000000E+002
   6.70000000E-001    4.93641276E-010   -9.87282491E-010    1.48092381E-009   -9.92453651E-019    5.39130474E-021    2.00710890E-017   -5.52609669E-017    4.31581485E-022   -5.82335151E-021    3.61823320E-017    1.24619929E-021    4.87002586E-023    1.77876919E-020   -2.49639138E-018    3.70576914E-022   -1.85288457E-022    2.47712350E-018    9.00000000E+002
   6.80000000E-001    4.89915290E-010   -9.79830645E-010    1.46974590E-009   -1.08151318E-018   -7.19311091E-022   -6.54705890E-017    6.80825210E-017    1.87356409E-022    5.29395592E-022   -1.53041624E-018   -2.45595611E-020   -1.91461293E-021   -3.22931311E-021   -1.41458473E-018   -2.91167576E-022    2.23669638E-021    1.44234268E-018    9.00000000E+002
   6.90000000E-001    4.86269351E-010   -9.72538710E-010    1.45880802E-009   -3.23319892E-019    5.43584324E-021    6.05149651E-017    7.58553097E-018    6.01980691E-022   -6.03510975E-021   -6.77771789E-017    2.34008878E-020    1.02673794E-022    4.57397792E-020    2.28431551E-018   -2.64697796E-022    7.94093388E-023   -2.35337356E-018    9.00000000E+002
   7.00000000E-001    4.82700667E-010   -9.65401306E-010    1.44810201E-009   -7.41195084E-019   -3.30562052E-021   -1.65937731E-017   -3.14773584E-017    2.37607631E-022    3.07049443E-021    4.88123241E-017   -1.09771003E-020    6.72497838E-022    2.96593880E-020    4.71106490E-018    1.45583788E-022   -7.54388719E-022   -4.72981088E-018    9.00000000E+002
   7.10000000E-001    4.79206559E-010   -9.58412871E-010    1.43761966E-009   -1.39026843E-019   -1.04366929E-021    4.42686839E-017   -2.46052684E-016   -1.06954453E-021    2.11758237E-021    2.01923023E-016    1.54706039E-020    1.87253011E-022    1.18584613E-020   -1.08810646E-018   -2.64697796E-023   -9.26442286E-023    1.06070926E-018    9.00000000E+002
