z(m),N2(T),N(T),H(T),NH3(T),NH2(T),NH(T),RU(T),N2(S),N(S),H(S),NH3(S),NH2(S),NH(S),RU(S)
8.650000e-07,2.279008e-09,3.570101e-01,3.036103e-04,4.241759e-07,5.491918e-08,4.469036e-05,6.426411e-01,4.312922e-10,4.464850e-01,1.679025e-04,2.162423e-06,1.377777e-02,4.497358e-05,5.395222e-01
9.100000e-07,2.397096e-09,3.570059e-01,3.113766e-04,4.241709e-07,5.559769e-08,4.581833e-05,6.426364e-01,4.520824e-10,4.464540e-01,1.694371e-04,2.163498e-06,1.377490e-02,4.524467e-05,5.395543e-01
9.550000e-07,2.515143e-09,3.570019e-01,3.189513e-04,4.241661e-07,5.627586e-08,4.691844e-05,6.426318e-01,4.728678e-10,4.464232e-01,1.709594e-04,2.164564e-06,1.377211e-02,4.551336e-05,5.395861e-01
1.000000e-06,2.633149e-09,3.569979e-01,3.263475e-04,4.241613e-07,5.695370e-08,4.799264e-05,6.426273e-01,4.936485e-10,4.463926e-01,1.724696e-04,2.165622e-06,1.376940e-02,4.577969e-05,5.396176e-01
1.450000e-06,3.811027e-09,3.569622e-01,3.926086e-04,4.241180e-07,6.371512e-08,5.761546e-05,6.425871e-01,7.012025e-10,4.460983e-01,1.869685e-04,2.175777e-06,1.374618e-02,4.832575e-05,5.399181e-01
1.900000e-06,4.985140e-09,3.569315e-01,4.490270e-04,4.240803e-07,7.044915e-08,6.580792e-05,6.425532e-01,9.083123e-10,4.458215e-01,2.005283e-04,2.185284e-06,1.372888e-02,5.068886e-05,5.401962e-01
2.350000e-06,6.155733e-09,3.569040e-01,4.989652e-04,4.240463e-07,7.715891e-08,7.305856e-05,6.425235e-01,1.114999e-09,4.455591e-01,2.133210e-04,2.194268e-06,1.371625e-02,5.290229e-05,5.404562e-01
2.800000e-06,7.322998e-09,3.568788e-01,5.442175e-04,4.240152e-07,8.384646e-08,7.962806e-05,6.424968e-01,1.321280e-09,4.453085e-01,2.254718e-04,2.202820e-06,1.370743e-02,5.499029e-05,5.407014e-01
3.250000e-06,8.487098e-09,3.568555e-01,5.858766e-04,4.239864e-07,9.051328e-08,8.567523e-05,6.424725e-01,1.527170e-09,4.450680e-01,2.370755e-04,2.211007e-06,1.370176e-02,5.697117e-05,5.409340e-01
3.700000e-06,9.648173e-09,3.568335e-01,6.246668e-04,4.239595e-07,9.716055e-08,9.130527e-05,6.424500e-01,1.732684e-09,4.448361e-01,2.482056e-04,2.218882e-06,1.369873e-02,5.885916e-05,5.411559e-01
