z(m^3),N2(T),N(T),H(T),NH3(T),NH2(T),NH(T),RU(T),N2(S),N(S),H(S),NH3(S),NH2(S),NH(S),RU(S)
7.55000000e-07,4.84643878e-06,2.99198778e-01,2.30064895e-02,7.01515596e-07,1.09952334e-05,1.74176143e-03,6.76036428e-01,9.98128988e-07,2.89543825e-01,2.28212356e-02,1.62596088e-05,2.25296000e-02,6.34136449e-04,6.64453946e-01
7.65000000e-07,4.88128981e-06,2.98808120e-01,2.31676285e-02,7.03806791e-07,1.10033970e-05,1.74599881e-03,6.76261664e-01,1.00537687e-06,2.89107281e-01,2.29933447e-02,1.63245943e-05,2.25247058e-02,6.35574248e-04,6.64721764e-01
7.75000000e-07,4.91587277e-06,2.98421570e-01,2.33277635e-02,7.06073330e-07,1.10111825e-05,1.75017301e-03,6.76483861e-01,1.01256857e-06,2.88676333e-01,2.31642665e-02,1.63887378e-05,2.25196781e-02,6.36991034e-04,6.64985330e-01
7.85000000e-07,4.95019265e-06,2.98039041e-01,2.34869113e-02,7.08315629e-07,1.10186042e-05,1.75428567e-03,6.76703085e-01,1.01970514e-06,2.88250834e-01,2.33340232e-02,1.64520584e-05,2.25145221e-02,6.38387343e-04,6.65244762e-01
7.95000000e-07,4.98425426e-06,2.97660451e-01,2.36450880e-02,7.10534100e-07,1.10256759e-05,1.75833835e-03,6.76919403e-01,1.02678760e-06,2.87830645e-01,2.35026360e-02,1.65145743e-05,2.25092427e-02,6.39763688e-04,6.65500171e-01
8.05000000e-07,5.01806229e-06,2.97285718e-01,2.38023096e-02,7.12729139e-07,1.10324106e-05,1.76233259e-03,6.77132876e-01,1.03381695e-06,2.87415630e-01,2.36701260e-02,1.65763032e-05,2.25038448e-02,6.41120564e-04,6.65751669e-01
8.15000000e-07,5.05162128e-06,2.96914766e-01,2.39585913e-02,7.14901138e-07,1.10388207e-05,1.76626984e-03,6.77343568e-01,1.04079414e-06,2.87005660e-01,2.38365132e-02,1.66372622e-05,2.24983330e-02,6.42458450e-04,6.65999358e-01
8.25000000e-07,5.08493566e-06,2.96547517e-01,2.41139482e-02,7.17050478e-07,1.10449182e-05,1.77015150e-03,6.77551537e-01,1.04772011e-06,2.86600609e-01,2.40018173e-02,1.66974679e-05,2.24927115e-02,6.43777805e-04,6.66243340e-01
8.35000000e-07,5.11800969e-06,2.96183897e-01,2.42683948e-02,7.19177531e-07,1.10507143e-05,1.77397894e-03,6.77756841e-01,1.05459576e-06,2.86200357e-01,2.41660572e-02,1.67569363e-05,2.24869845e-02,6.45079074e-04,6.66483711e-01
8.45000000e-07,5.15084755e-06,2.95823836e-01,2.44219454e-02,7.21282659e-07,1.10562200e-05,1.77775346e-03,6.77959537e-01,1.06142199e-06,2.85804788e-01,2.43292516e-02,1.68156829e-05,2.24811560e-02,6.46362683e-04,6.66720565e-01
